Week_end,Indicator,High_industry,Value
2019-05-05,Number of paid jobs - 20 days,Total,1828160
2019-05-05,Number of paid jobs - 20 days,A Primary,79880
2019-05-05,Number of paid jobs - 20 days,B Goods Producing,344320
2019-05-05,Number of paid jobs - 20 days,C Services,1389220
2019-05-05,Number of paid jobs - 20 days,Z No Match,14730
2019-05-05,Weekly earnings - median - 20 days,Total,969.38
2019-05-05,Weekly earnings - median - 20 days,A Primary,936.24
2019-05-05,Weekly earnings - median - 20 days,B Goods Producing,1105.55
2019-05-05,Weekly earnings - median - 20 days,C Services,936
2019-05-05,Weekly earnings - median - 20 days,Z No Match,517.5
2019-05-05,Weekly earnings - upper quartile - 20 days,Total,1384.62
2019-05-05,Weekly earnings - upper quartile - 20 days,A Primary,1261.86
2019-05-05,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450
2019-05-05,Weekly earnings - upper quartile - 20 days,C Services,1375
2019-05-05,Weekly earnings - upper quartile - 20 days,Z No Match,897.24
2019-05-05,Weekly earnings - lower quartile - 20 days,Total,620.88
2019-05-05,Weekly earnings - lower quartile - 20 days,A Primary,611.71
2019-05-05,Weekly earnings - lower quartile - 20 days,B Goods Producing,837.65
2019-05-05,Weekly earnings - lower quartile - 20 days,C Services,558.21
2019-05-05,Weekly earnings - lower quartile - 20 days,Z No Match,209.85
2019-05-12,Number of paid jobs - 20 days,Total,1821610
2019-05-12,Number of paid jobs - 20 days,A Primary,77540
2019-05-12,Number of paid jobs - 20 days,B Goods Producing,341110
2019-05-12,Number of paid jobs - 20 days,C Services,1389260
2019-05-12,Number of paid jobs - 20 days,Z No Match,13700
2019-05-12,Weekly earnings - median - 20 days,Total,961.74
2019-05-12,Weekly earnings - median - 20 days,A Primary,923
2019-05-12,Weekly earnings - median - 20 days,B Goods Producing,1109.31
2019-05-12,Weekly earnings - median - 20 days,C Services,927.21
2019-05-12,Weekly earnings - median - 20 days,Z No Match,500
2019-05-12,Weekly earnings - upper quartile - 20 days,Total,1379.33
2019-05-12,Weekly earnings - upper quartile - 20 days,A Primary,1250
2019-05-12,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.57
2019-05-12,Weekly earnings - upper quartile - 20 days,C Services,1365.38
2019-05-12,Weekly earnings - upper quartile - 20 days,Z No Match,881.3
2019-05-12,Weekly earnings - lower quartile - 20 days,Total,612.61
2019-05-12,Weekly earnings - lower quartile - 20 days,A Primary,594.64
2019-05-12,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
2019-05-12,Weekly earnings - lower quartile - 20 days,C Services,550
2019-05-12,Weekly earnings - lower quartile - 20 days,Z No Match,200.02
2019-05-19,Number of paid jobs - 20 days,Total,1815900
2019-05-19,Number of paid jobs - 20 days,A Primary,78170
2019-05-19,Number of paid jobs - 20 days,B Goods Producing,341240
2019-05-19,Number of paid jobs - 20 days,C Services,1382280
2019-05-19,Number of paid jobs - 20 days,Z No Match,14200
2019-05-19,Weekly earnings - median - 20 days,Total,973.88
2019-05-19,Weekly earnings - median - 20 days,A Primary,936.43
2019-05-19,Weekly earnings - median - 20 days,B Goods Producing,1108.82
2019-05-19,Weekly earnings - median - 20 days,C Services,941
2019-05-19,Weekly earnings - median - 20 days,Z No Match,513.22
2019-05-19,Weekly earnings - upper quartile - 20 days,Total,1394.23
2019-05-19,Weekly earnings - upper quartile - 20 days,A Primary,1273.25
2019-05-19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.79
2019-05-19,Weekly earnings - upper quartile - 20 days,C Services,1384.6
2019-05-19,Weekly earnings - upper quartile - 20 days,Z No Match,900
2019-05-19,Weekly earnings - lower quartile - 20 days,Total,624.27
2019-05-19,Weekly earnings - lower quartile - 20 days,A Primary,610.2
2019-05-19,Weekly earnings - lower quartile - 20 days,B Goods Producing,839.44
2019-05-19,Weekly earnings - lower quartile - 20 days,C Services,562.5
2019-05-19,Weekly earnings - lower quartile - 20 days,Z No Match,207.39
2019-05-26,Number of paid jobs - 20 days,Total,1840800
2019-05-26,Number of paid jobs - 20 days,A Primary,77640
2019-05-26,Number of paid jobs - 20 days,B Goods Producing,342170
2019-05-26,Number of paid jobs - 20 days,C Services,1406540
2019-05-26,Number of paid jobs - 20 days,Z No Match,14460
2019-05-26,Weekly earnings - median - 20 days,Total,970.8
2019-05-26,Weekly earnings - median - 20 days,A Primary,951.84
2019-05-26,Weekly earnings - median - 20 days,B Goods Producing,1111.5
2019-05-26,Weekly earnings - median - 20 days,C Services,937.1
2019-05-26,Weekly earnings - median - 20 days,Z No Match,504.45
2019-05-26,Weekly earnings - upper quartile - 20 days,Total,1389.21
2019-05-26,Weekly earnings - upper quartile - 20 days,A Primary,1283.85
