period,status,sex,age,population
2008-06-30,F,female,0-14,436700
2008-06-30,F,female,0-4,146740
2008-06-30,F,female,10-14,148020
2008-06-30,F,female,15-19,156530
2008-06-30,F,female,15-39,745200
2008-06-30,F,female,20-24,144350
2008-06-30,F,female,25-29,137430
2008-06-30,F,female,30-34,142060
2008-06-30,F,female,35-39,164810
2008-06-30,F,female,40-44,163300
2008-06-30,F,female,40-64,700900
2008-06-30,F,female,45-49,164900
2008-06-30,F,female,5-9,141960
2008-06-30,F,female,50-54,141130
2008-06-30,F,female,55-59,123900
2008-06-30,F,female,60-64,107630
2008-06-30,F,female,65-69,84980
2008-06-30,F,female,65+,293600
2008-06-30,F,female,70-74,65270
2008-06-30,F,female,75-79,56030
2008-06-30,F,female,80-84,44640
2008-06-30,F,female,85-89,27940
2008-06-30,F,female,90+,14710
2008-06-30,F,female,median,37.18
2008-06-30,F,female,total,2176330
2008-09-30,F,female,0-14,437100
2008-09-30,F,female,0-4,147570
2008-09-30,F,female,10-14,147630
2008-09-30,F,female,15-19,157e3
2008-09-30,F,female,15-39,745500
2008-09-30,F,female,20-24,144690
2008-09-30,F,female,25-29,137780
2008-09-30,F,female,30-34,141380
2008-09-30,F,female,35-39,164650
2008-09-30,F,female,40-44,162950
2008-09-30,F,female,40-64,704100
2008-09-30,F,female,45-49,165700
2008-09-30,F,female,5-9,141930
2008-09-30,F,female,50-54,142200
2008-09-30,F,female,55-59,124470
2008-09-30,F,female,60-64,108810
2008-09-30,F,female,65-69,85620
2008-09-30,F,female,65+,294700
2008-09-30,F,female,70-74,65720
2008-09-30,F,female,75-79,56050
2008-09-30,F,female,80-84,44690
2008-09-30,F,female,85-89,27990
2008-09-30,F,female,90+,14650
2008-09-30,F,female,median,37.25
2008-09-30,F,female,total,2181480
2008-12-31,F,female,0-14,437400
2008-12-31,F,female,0-4,148210
2008-12-31,F,female,10-14,146930
2008-12-31,F,female,15-19,156670
2008-12-31,F,female,15-39,745500
2008-12-31,F,female,20-24,144910
2008-12-31,F,female,25-29,138610
2008-12-31,F,female,30-34,141200
2008-12-31,F,female,35-39,164110
2008-12-31,F,female,40-44,163040
2008-12-31,F,female,40-64,707700
2008-12-31,F,female,45-49,166040
2008-12-31,F,female,5-9,142300
2008-12-31,F,female,50-54,143210
2008-12-31,F,female,55-59,124920
2008-12-31,F,female,60-64,110470
2008-12-31,F,female,65-69,86240
2008-12-31,F,female,65+,296400
2008-12-31,F,female,70-74,66480
2008-12-31,F,female,75-79,55900
2008-12-31,F,female,80-84,44750
2008-12-31,F,female,85-89,28320
2008-12-31,F,female,90+,14730
2008-12-31,F,female,median,37.32
2008-12-31,F,female,total,2187030
2009-03-31,F,female,0-14,438300
2009-03-31,F,female,0-4,148780
2009-03-31,F,female,10-14,146810
2009-03-31,F,female,15-19,156810
2009-03-31,F,female,15-39,745900
2009-03-31,F,female,20-24,145570
2009-03-31,F,female,25-29,139040
2009-03-31,F,female,30-34,140890
2009-03-31,F,female,35-39,163600
2009-03-31,F,female,40-44,162910
2009-03-31,F,female,40-64,710900
2009-03-31,F,female,45-49,166610
2009-03-31,F,female,5-9,142700
2009-03-31,F,female,50-54,144160
2009-03-31,F,female,55-59,125520
2009-03-31,F,female,60-64,111670
2009-03-31,F,female,65-69,86810
2009-03-31,F,female,65+,298200
2009-03-31,F,female,70-74,67110
2009-03-31,F,female,75-79,55890
2009-03-31,F,female,80-84,44840
2009-03-31,F,female,85-89,28730
2009-03-31,F,female,90+,14840
2009-03-31,F,female,median,37.38
2009-03-31,F,female,total,2193280
2009-06-30,F,female,0-14,439100
2009-06-30,F,female,0-4,149420
2009-06-30,F,female,10-14,146990
2009-06-30,F,female,15-19,156720
2009-06-30,F,female,15-39,745e3
2009-06-30,F,female,20-24,145730
2009-06-30,F,female,25-29,139e3
2009-06-30,F,female,30-34,140450
2009-06-30,F,female,35-39,163110
2009-06-30,F,female,40-44,163090
2009-06-30,F,female,40-64,714100
2009-06-30,F,female,45-49,166830
